"ind_id","Sex","Ethnicity","question","response","domain2","age"
262055218,"Male","bayaka","mobility","Me","mobility","b"
262055020,"Female","bandongo","mobility","Partner","mobility","b"
262055233,"Female","bayaka","mobility","Partner","mobility","b"
262055276,"Female","bayaka","mobility","Partner","mobility","d"
262055180,"Female","bayaka","mobility","Me","mobility","c"
262091684,"Female","bandongo","mobility","Me","mobility","b"
262055014,"Female","bandongo","mobility","Partner","mobility","c"
262055027,"Female","bandongo","mobility","Me","mobility","b"
262055199,"Male","bayaka","mobility","Me","mobility","a"
262055198,"Male","bayaka","mobility","Partner","mobility","a"
262055171,"Female","bayaka","mobility","Partner","mobility","c"
262055215,"Female","bayaka","mobility","Partner","mobility","d"
262055195,"Male","bayaka","mobility","Me","mobility","a"
262055010,"Female","bandongo","mobility","Together","mobility","b"
262055194,"Male","bayaka","mobility","Me","mobility","a"
262055026,"Female","bandongo","mobility","Partner","mobility","a"
262055186,"Female","bayaka","mobility","Others","mobility","a"
262055270,"Female","bayaka","mobility","Partner","mobility","c"
262055206,"Male","bayaka","mobility","Together","mobility","d"
262091728,"Female","bandongo","mobility","Partner","mobility","a"
262055036,"Female","bandongo","mobility","Partner","mobility","b"
262055196,"Male","bayaka","mobility","Me","mobility","b"
262054981,"Female","bandongo","mobility","Partner","mobility","d"
262055265,"Female","bayaka","mobility","Together","mobility","b"
262055238,"Female","bayaka","mobility","Partner","mobility","a"
262091614,"Female","bandongo","mobility","Me","mobility","c"
262055079,"Female","bandongo","mobility","Me","mobility","b"
262055164,"Male","bayaka","mobility","Me","mobility","b"
262055191,"Female","bayaka","mobility","Me","mobility","a"
262055184,"Female","bayaka","mobility","Me","mobility","a"
262054986,"Male","bandongo","mobility","Me","mobility","b"
262055245,"Male","bayaka","mobility","Me","mobility","b"
262091607,"Female","bandongo","mobility","Together","mobility","c"
262055013,"Female","bandongo","mobility","Together","mobility","b"
262055273,"Female","bayaka","mobility","Partner","mobility","a"
262055204,"Female","bayaka","mobility","Partner","mobility","b"
262055190,"Male","bayaka","mobility","Me","mobility","b"
262055029,"Female","bandongo","mobility","Me","mobility","b"
262091647,"Female","bandongo","mobility","Me","mobility","c"
262055176,"Male","bayaka","mobility","Me","mobility","b"
262055181,"Male","bayaka","mobility","Partner","mobility","b"
262091669,"Female","bandongo","mobility","Together","mobility","b"
262055275,"Female","bayaka","mobility","Me","mobility","b"
262054998,"Female","bandongo","mobility","Me","mobility","c"
262055167,"Male","bayaka","mobility","Me","mobility","a"
262055202,"Male","bayaka","mobility","Me","mobility","b"
262055205,"Male","bayaka","mobility","Me","mobility","b"
262055253,"Male","bayaka","daily_activity","Me","daily_activity","b"
262055034,"Female","bandongo","daily_activity","Together","daily_activity","b"
262055231,"Female","bayaka","daily_activity","Partner","daily_activity","a"
